support,itemsets,length
0.008227149593659075,"frozenset({'black pepper', 'Cheddar cheese', 'ground'})",3
0.005217216815491121,"frozenset({'Cheddar cheese', 'black pepper', 'onion'})",3
0.005217216815491121,"frozenset({'package', 'Cheddar cheese', 'black pepper'})",3
0.006320858834152704,"frozenset({'purpose flour', 'Cheddar cheese', 'black pepper'})",3
0.00993277816795425,"frozenset({'Cheddar cheese', 'salt', 'black pepper'})",3
0.005819203371124712,"frozenset({'sour cream', 'Cheddar cheese', 'black pepper'})",3
0.007123507574997492,"frozenset({'Cheddar cheese', 'salt', 'ground'})",3
0.005718872278519113,"frozenset({'Dijon mustard', 'salt', 'black pepper'})",3
0.00591953446373031,"frozenset({'Parmesan cheese', 'cloves', 'black pepper'})",3
0.005417879000702318,"frozenset({'Parmesan cheese', 'fresh parsley', 'black pepper'})",3
0.005518210093307916,"frozenset({'Parmesan cheese', 'garlic powder', 'black pepper'})",3
0.010936089094010233,"frozenset({'Parmesan cheese', 'black pepper', 'ground'})",3
0.005217216815491121,"frozenset({'Parmesan cheese', 'black pepper', 'onion'})",3
0.005016554630279924,"frozenset({'package', 'black pepper', 'Parmesan cheese'})",3
0.005417879000702318,"frozenset({'Parmesan cheese', 'purpose flour', 'black pepper'})",3
0.013544697501755795,"frozenset({'Parmesan cheese', 'salt', 'black pepper'})",3
0.00923046051971506,"frozenset({'Parmesan cheese', 'salt', 'ground'})",3
0.005016554630279924,"frozenset({'balsamic vinegar', 'salt', 'black pepper'})",3
0.005217216815491121,"frozenset({'bell pepper', 'black pepper', 'onion'})",3
0.006922845389786295,"frozenset({'boneless chicken breast halves', 'skinless', 'black pepper'})",3
0.005417879000702318,"frozenset({'brown sugar', 'garlic powder', 'black pepper'})",3
0.006019865556335909,"frozenset({'black pepper', 'carrots', 'ground'})",3
0.0066218521119695,"frozenset({'black pepper', 'carrots', 'onion'})",3
0.006421189926758303,"frozenset({'black pepper', 'salt', 'carrots'})",3
0.006822514297180697,"frozenset({'kosher salt', 'cayenne pepper', 'black pepper'})",3
0.007625163038025484,"frozenset({'black pepper', 'salt', 'cayenne pepper'})",3
0.005016554630279924,"frozenset({'black pepper', 'celery', 'onion'})",3
0.00722383866760309,"frozenset({'black pepper', 'clove garlic', 'ground'})",3
0.005618541185913515,"frozenset({'clove garlic', 'black pepper', 'onion'})",3
0.009431122704926256,"frozenset({'clove garlic', 'salt', 'black pepper'})",3
0.005016554630279924,"frozenset({'fresh parsley', 'cloves', 'black pepper'})",3
0.014046352964783786,"frozenset({'black pepper', 'cloves', 'ground'})",3
0.009431122704926256,"frozenset({'kosher salt', 'cloves', 'black pepper'})",3
0.010635095816193438,"frozenset({'cloves', 'black pepper', 'onion'})",3
0.005417879000702318,"frozenset({'purpose flour', 'cloves', 'black pepper'})",3
0.006120196648941507,"frozenset({'red pepper flakes', 'cloves', 'black pepper'})",3
